rosbagTimestamp,desiredRelPose,desiredAbsPose,currentRelPose,currentAbsPose,joint_state_left,joint_state_right,del_q,norm_error_abs,norm_error_rel,timeStamp,timeStampNew,controlMode
1532096662470410000,"1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1.0, 0.0, 0.0, 0.0, 0.0, 0.36965, 0.0, 0.0996815","1.0, 0.0, 0.0, 0.0, 1.2833114942441636e-17, 1.1102230246251565e-16, 0.0, 2.7755575615628914e-17","0.9999990080398143, 0.0, 0.0, 0.0, -1.0537537966859385e-15, 0.36964891711897374, 0.0, 0.09968120798537801","-1.1044661672774978, -0.8015049616701286, 0.4333495725776294, 1.3537380453088776, -0.3501311148348457, 1.0826069410501307, 0.2009514832129892","1.0093593584286022, -0.8916263329583968, -0.317917518289252, 1.466869128415427, 0.2768835322133172, 1.103315681686584, -0.09203884727312482","-0.0006464703580689182, 0.0003477542427300497, 0.0004911585989710754, -0.0001338424504274146, 0.000666040016018801, -0.00015403215754067004, -0.0008092785095663738, -0.0006323846432215443, -0.00024180996188658452, 0.0005435116304050347, 9.502862120616284e-05, 0.0006424113275285909, 0.0001594194920771852, -0.0007339237314499335",0.0028170348,2.28878339926E-016,1532096662.47,0,0
1532096664281300000,"0.9999999999999785, -2.0742416381835792e-07, -0.0, -0.0, 0.0, 0.0, -1.0371208190917747e-10, -2.1512391867872646e-17","1.0, 0.0, 0.0, 0.0, 0.0, 0.3696500010371208, 0.0, 0.09968150103712083","1.0, 0.0, 0.0, 0.0, -2.4663246252134424e-06, 0.0015137295581174603, -0.0021140444885652553, 0.004182082212265181","0.9999003308770219, -0.00437470132950873, 0.01324096420960533, 0.0016990915773045208, 0.0014547979065253458, 0.36446600246976374, -0.00196038035219113, 0.09754290219818976","-1.1094516048381255, -0.7903836009579595, 0.42951462060791584, 1.3621749396422473, -0.35051461003181705, 1.0787719890804173, 0.20056798801601786","1.0143447959892298, -0.871301087518915, -0.3186845086831947, 1.479907965112453, 0.273432075440575, 1.0967962633380708, -0.09203884727312482","-0.011478431519665652, 0.01678047644505715, 0.005132739058488861, -0.01858669445562135, 0.007956870833913799, 0.0055805279290845975, -0.004825231537780217, -0.00019430524271520718, 0.018577266924865266, -0.0008434095203149518, -0.02381979640430967, 0.0036267151058843386, 0.0076850635550402766, -0.00643288468426236",0.0321223765,0.0098489334,1532096664.28,1.8099999428,0
1532096665089630000,"0.9999671399872924, -0.008106722249767813, -0.0, -0.0, 0.0, 0.0, -4.053272328343166e-06, -3.2859832743069245e-08","1.0, 0.0, 0.0, 0.0, 0.0, 0.36969053509235383, 0.0, 0.09972203509235383","1.0, 0.0, 0.0, 0.0, 3.132206654036813e-05, -0.002328903451349673, -0.0026929047847199443, -0.0006197649764837498","0.9998797325161976, -0.00579473325053499, 0.014255536976617002, 0.0013213386727772727, 0.0020182645390429367, 0.36268995421788164, -0.002758564755562039, 0.09308329068427061","-1.1159710231866384, -0.7715923363063631, 0.42951462060791584, 1.3690778531877317, -0.35051461003181705, 1.0760875227016178, 0.20056798801601786","1.0139613007922585, -0.8624806979885739, -0.31945149907713744, 1.4772234987336534, 0.27381557063754636, 1.0929613113683574, -0.09203884727312482","-0.007560181641478869, 0.017704345337676446, 0.006408591179951524, -0.022268017811026285, 0.0069478711584528485, 0.006532079713702335, -0.002678115017506727, 0.0032322332933045934, 0.017467816174533884, 0.003054076214956732, -0.03276359837297013, 0.00676612711623362, 0.020198461871065193, -0.009371444043249678",0.036177124,0.0177491553,1532096665.09,2.6199998856,0
1532096665902150000,"0.9998689631916081, -0.016188157589381795, -0.0, -0.0, 0.0, 0.0, -8.09337168539198e-06, -1.3103394654271187e-07","1.0, 0.0, 0.0, 0.0, 0.0, 0.36977147941589356, 0.0, 0.09980297941589357","1.0, 0.0, 0.0, 0.0, 2.1003152643372675e-05, -0.0006905792914342901, -0.002941175222300575, 0.0014470505120762756","0.9998212277285035, -0.006216435503832517, 0.01769323713373879, 0.0019604733454274903, 0.0021210047482132168, 0.3621175813191494, -0.002987806172519368, 0.09350750993088974","-1.1152040327926958, -0.7685243747305923, 0.42951462060791584, 1.3617914444452761, -0.35051461003181705, 1.0810729602622453, 0.19980099762207515","1.0143447959892298, -0.8574952604279463, -0.3186845086831947, 1.4787574795215388, 0.273432075440575, 1.0933448065653286, -0.09242234247009617","-0.011761095213139679, 0.020710122665668466, 0.008212702287586315, -0.023797839464318866, 0.009394103231113877, 0.0037720931128303187, -0.00752692571951377, 0.0030484068488571144, 0.023528779955062938, 0.001373871032050943, -0.03916237527924813, 0.007918716985083576, 0.0233688697105497, -0.00897306297636154",0.0430763074,0.033060789,1532096665.9,3.4300000668,0
1532096666700560000,"0.9997043767315876, -0.024313764490671488, -0.0, -0.0, 0.0, 0.0, -1.21544861279842e-05, -2.956087020316072e-07","1.0, 0.0, 0.0, 0.0, 0.0, 0.36989306021928786, 0.0, 0.09992456021928789","1.0, 0.0, 0.0, 0.0, 1.6392055439023653e-05, 0.0003514945780335732, -0.004103634725739819, 0.002129933785526325","0.9997958890172031, -0.005895026870290105, 0.019023825344041213, 0.0030901076457456682, 0.001919059903700881, 0.3619842501437427, -0.0039217139753826855, 0.09379759984616472","-1.1167380135805811, -0.7646894227608787, 0.42874763021397316, 1.3533545501119062, -0.3508981052287884, 1.0852914074289302, 0.19826701683418974","1.0143447959892298, -0.8551942892461182, -0.31906800388016604, 1.4783739843245676, 0.27458256103148904, 1.0944952921562427, -0.095490304045867","-0.013600715554823624, 0.023140041808412705, 0.009652837546631156, -0.025099271099796355, 0.011205202451454361, 0.0018636413780826668, -0.009569588418434565, 0.00648833738962693, 0.02794463822053652, -0.0007477838419510904, -0.043666136310237, 0.006946272306392022, 0.026627216127671147, -0.005937872639183595",0.0462957522,0.0495046928,1532096666.7,4.2300000191,0
1532096667509650000,"0.999478436993877, -0.03229324982526207, -0.0, -0.0, 0.0, 0.0, -1.6141009712504283e-05, -5.215176633981505e-07","1.0, 0.0, 0.0, 0.0, 0.0, 0.3700545545458794, 0.0, 0.10008605454587938","1.0, 0.0, 0.0, 0.0, 3.51852699448903e-05, 0.00020895364668194194, -0.00397082962681861, 0.0037060326746828354","0.9998058639407295, -0.006420792107513281, 0.018371178947507043, 0.0027458068131513995, 0.00215860912793738, 0.3632160833714943, -0.004456894282750931, 0.09316871768178914","-1.117505003974524, -0.7600874803972225, 0.42951462060791584, 1.3410827038088229, -0.35051461003181705, 1.0906603401865291, 0.19750002644024703","1.0108933392164876, -0.847524385306691, -0.3175340230922806, 1.470320585188169, 0.27458256103148904, 1.0933448065653286, -0.095490304045867","-0.01766516386878366, 0.02482913114874391, 0.013160982724876064, -0.031154882305445795, 0.016391817868759588, 0.013690527034252222, -0.00970619415280859, 0.012184834056650853, 0.022672124186907644, -0.004072491835961889, -0.03294683128323822, -0.0017308030762718477, 0.01597110029922444, 3.530790786335225e-05",0.0447101876,0.0655027654,1532096667.51,5.0399999619,0
1532096668319010000,"0.9991844678386582, -0.04037820241141686, -0.0, -0.0, 0.0, 0.0, -2.017812194512113e-05, -8.154212944730392e-07","1.0, 0.0, 0.0, 0.0, 0.0, 0.3702565004587174, 0.0, 0.10028800045871736","1.0, 0.0, 0.0, 0.0, 2.5526088675390055e-05, -2.3400273615303835e-05, -0.0026315192466379858, 0.002763117756262798","0.9998186459034532, -0.00375592646885891, 0.018428198600549364, 0.0026463631655441393, 0.0011816860486439126, 0.3637543156793154, -0.003372166166496714, 0.09329999314810984","-1.113286556807839, -0.7577865092153944, 0.4302816110018586, 1.3395487230209375, -0.35128160042575973, 1.0937283017623, 0.19711653124327566","1.0070583872467742, -0.8448399189278917, -0.3148495567134812, 1.4649516524305701, 0.27880100819817394, 1.0964127681410996, -0.09817477042466648","-0.019473194874634312, 0.022373053174853778, 0.013935658417089384, -0.02818706987166259, 0.018113564426489447, 0.012314413649494236, -0.012498520424702262, 0.01099747055719613, 0.01922047905182098, -0.004408664530914439, -0.030680584404554463, -0.0026792379736345134, 0.01594167057289017, -0.0004336098443854918",0.0426011661,0.0811358771,1532096668.32,5.8499999046,0
1532096669129150000,"0.9988249406615147, -0.048463779387513214, -0.0, -0.0, 0.0, 0.0, -2.4212900393537426e-05, -1.1748291569762595e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.3704989143133164, 0.0, 0.10053041431331636","1.0, 0.0, 0.0, 0.0, 2.1716380813308588e-05, 0.0010893901812564777, -0.002877134331465382, 0.003208915597225123","0.9997929932148495, -0.0020941490150306564, 0.019739471035755022, 0.004239694640077553, 0.00043370249883056133, 0.364226356230737, -0.0034118655753227443, 0.09351616119501927","-1.1106020904290395, -0.7531845668517382, 0.4291311254109445, 1.3299613430966537, -0.3508981052287884, 1.0952622825501854, 0.19788352163721837","1.004757416064946, -0.8390874909733214, -0.31178159513771037, 1.4588157292790285, 0.2811019793800021, 1.0994807297168703, -0.1012427320004373","-0.02200666559121013, 0.024732761854101188, 0.015421966760203326, -0.03017992824403762, 0.020381256545945674, 0.013069433037025843, -0.014076922916466757, 0.012460214240327158, 0.02051808512165819, -0.005950425926011383, -0.030794649250272386, -0.004299872376851092, 0.015471224259846877, 0.00117313776385055",0.0450787476,0.0973700918,1532096669.13,6.6600000858,0
1532096669940070000,"0.9983995300089131, -0.05655420831362835, -0.0, -0.0, 0.0, 0.0, -2.8246918557166517e-05, -1.6000429370052168e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.37078183630704886, 0.0, 0.1008133363070488","1.0, 0.0, 0.0, 0.0, 2.50759732269663e-05, -0.000631775170260862, -0.0021196474897238952, 0.0018861073246086296","0.9998072791259897, 1.5585204778525335e-05, 0.019416982140041658, 0.002534612260202947, -0.00018130869857316032, 0.36454983664788204, -0.0030815604400674, 0.09288473052463453","-1.1098351000350968, -0.7481991292911105, 0.42798063982003043, 1.3276603719148257, -0.3508981052287884, 1.0998642249138417, 0.19711653124327566","0.9986214929134043, -0.8352525390036077, -0.3094806239558822, 1.4534467965214295, 0.2849369313497156, 1.1006312153077844, -0.10316020798529407","-0.022556757643262097, 0.021222358313734185, 0.016373398586423372, -0.027185568436703684, 0.021544881267715928, 0.01248831968521947, -0.016447668998785844, 0.012917080040757097, 0.016439138270958123, -0.005681373302536156, -0.029553015641276166, -0.0051875614972706095, 0.01704865900804342, 0.0012314149949023776",0.0432677769,0.1133162759,1532096669.94,7.4700000286,0
1532096670739540000,"0.9979081355731333, -0.06464791533338847, -0.0, -0.0, 0.0, 0.0, -3.227885113008472e-05, -2.091134805428025e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.37110530146360404, 0.0, 0.10113680146360399","1.0, 0.0, 0.0, 0.0, 2.1032950321305628e-05, -4.969234170171255e-05, -0.0025690092675536274, 0.0016577000626016025","0.9998109580243648, 0.0024463425971127687, 0.018888872628464927, 0.003649074044756481, -0.0011776238240807752, 0.3655302753993207, -0.002994940871951758, 0.09310854561858332","-1.1071506336562973, -0.7447476725183684, 0.426446659032145, 1.3188399823844845, -0.35128160042575973, 1.1017817008986983, 0.19673303604630432","0.9959370265346049, -0.8318010822308656, -0.30679615757708273, 1.4465438829759452, 0.28877188331942916, 1.103315681686584, -0.10661166475803625","-0.023465193330257296, 0.02149794402002864, 0.017431402420801125, -0.027505715446839437, 0.022806042115121994, 0.013153535095501, -0.017528781300246935, 0.01495680518410517, 0.01497082565771633, -0.006739149736417455, -0.02677364016642067, -0.0071331184646211045, 0.01614335737558496, 0.0037642527196375154",0.0424694747,0.1295283965,1532096670.74,8.2699999809,0
1532096671551210000,"0.9973595010832396, -0.07262248686867886, -0.0, -0.0, 0.0, 0.0, -3.6247272883279484e-05, -2.639336263536218e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.3714687338352204, 0.0, 0.10150023383522035","1.0, 0.0, 0.0, 0.0, 2.169216535248715e-05, -0.00023204199887683075, -0.002313254478176713, 0.0017631725794129832","0.9997551224163506, 0.006569483724731949, 0.020612705153612427, 0.004438295640363783, -0.002769197637987908, 0.36544372824261584, -0.002261969552948119, 0.09336201181785819","-1.1040826720805266, -0.7424467013365402, 0.4260631638351737, 1.3169225063996277, -0.3516650956227311, 1.105616652868412, 0.19711653124327566","0.9901845985800346, -0.8245146734884099, -0.30104372962251247, 1.4404079598244035, 0.2949078064709708, 1.1060001480653834, -0.11159710231866385","-0.027995913837564158, 0.021733754841160212, 0.019207359518526874, -0.0269610322352529, 0.026097453924415495, 0.012432156613381684, -0.021978337718215543, 0.013282495390520965, 0.0148679727535151, -0.006934620466632729, -0.028679573750268632, -0.007004527303605674, 0.017334947150272836, 0.001857087967827957",0.0475369812,0.1454882126,1532096671.55,9.0799999237,0
1532096672360340000,"0.9967366997201024, -0.08072144344025611, -0.0, -0.0, 0.0, 0.0, -4.027282954882381e-05, -3.261524265653456e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.3718727806568146, 0.0, 0.10190428065681459","1.0, 0.0, 0.0, 0.0, 1.880906253180813e-05, 0.0002370098569759449, -0.0014274151236290044, 0.0018140314422499526","0.9997276899430426, 0.009392052702932526, 0.021108315834013236, 0.002969635372114962, -0.003681501054281872, 0.3661106369375612, -0.0017895391198534442, 0.09420089310065993","-1.1010147105047556, -0.7401457301547121, 0.42452918304728826, 1.308485612066258, -0.35204859081970247, 1.1102185952320682, 0.19711653124327566","0.985199161019407, -0.8233641878974959, -0.30027673922856973, 1.4384904838395467, 0.30027673922856973, 1.1086846144441829, -0.11543205428837738","-0.03174451878733414, 0.019081003160001015, 0.020125300942908014, -0.02318178348143201, 0.028845088545869334, 0.01047034474765305, -0.026253023501189382, 0.010458962158333397, 0.011858677008747289, -0.007176764201558981, -0.026393688469224148, -0.007285315236534088, 0.016446435156438358, 0.000559682144649647",0.0493746859,0.1616843967,1532096672.36,9.8899998665,0
1532096673169560000,"0.9960513822025606, -0.08877862362285516, -0.0, -0.0, 0.0, 0.0, -4.4272322231854954e-05, -3.946017145862768e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.3723172589540482, 0.0, 0.10234875895404817","1.0, 0.0, 0.0, 0.0, -5.888773075975531e-06, -0.0008167741622566171, -0.0017546941822537158, -0.0004674148269828149","0.9997127274052442, 0.013420473716710513, 0.019344519378293172, 0.0042650958600615515, -0.005292352409006098, 0.36685145318678447, -0.0016607803248198175, 0.09369983373285161","-1.099097234519899, -0.7347767973971132, 0.4226117070624315, 1.303116679308659, -0.3508981052287884, 1.1125195664138963, 0.19750002644024703","0.978679742670894, -0.820296226321725, -0.2941408160770281, 1.4292865991122343, 0.304878681592226, 1.1113690808229824, -0.12041749184900498","-0.030865039836932003, 0.019380209366533986, 0.0220765571312466, -0.024372304698274592, 0.02988771190085758, 0.011757575668123249, -0.027105745735618025, 0.013655787295767077, 0.007707769346836813, -0.006587824556350816, -0.023269704588228225, -0.008574690563862513, 0.017766395396709846, 0.002786515528567164",0.0503576928,0.1778342236,1532096673.17,10.7000000477,0
1532096673979500000,"0.9953003154133881, -0.09683636784808754, -0.0, -0.0, 0.0, 0.0, -4.8266269529072924e-05, -4.695999949352949e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.37280220072269443, 0.0, 0.10283370072269442","1.0, 0.0, 0.0, 0.0, 2.2448297945848114e-06, -0.00039300803582065225, -0.00044176578188104417, 0.0006967647011536376","0.9996007180087157, 0.016483149029194746, 0.022648243871567275, 0.0034375397038058893, -0.0063365158040018755, 0.3663901167525302, -0.0012802935445887479, 0.09417178517632821","-1.096029272944128, -0.7328593214122564, 0.42146122147151743, 1.3015826985207735, -0.3524320860166738, 1.1155875279896672, 0.19750002644024703","0.972160324322381, -0.8130098175792693, -0.2914563496982286, 1.4281361135213202, 0.3106311095467963, 1.1129030616108677, -0.12616991980357528","-0.008777267580805546, -0.022842724386042543, 0.004552377274582027, 0.003694413169145329, 0.01136355456847162, 0.00732123643956065, -0.00866989511242176, 0.02352484203147481, -0.01796733950011486, -0.01554602128758994, 0.0022061584471369895, -0.024402045722448966, 0.0011773480761653016, 0.026188439411518282",0.0591055341,0.1939850626,1532096673.98,11.5099999905,0
1532096674781980000,"0.9944833680971247, -0.10489437820111602, -0.0, -0.0, 0.0, 0.0, -5.225398130961183e-05, -5.511554093149161e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.37332763918638234, 0.0, 0.10335913918638232","1.0, 0.0, 0.0, 0.0, -1.6040601807633392e-05, -0.0013445544288537836, -0.000567634708285849, 0.0008603970721636212","0.9996133000152669, 0.018292428063945987, 0.020632123713088195, 0.0033173926903427133, -0.007012296733775306, 0.36728954633050986, -0.00106723247018487, 0.09434721041944785","-1.0910438353835006, -0.7340098070031704, 0.41762626950180387, 1.3015826985207735, -0.3581845139712441, 1.1152040327926958, 0.2024854640008746","0.9683253723526675, -0.8114758367913839, -0.2880048929254864, 1.4220001903697785, 0.31254858553165304, 1.113286556807839, -0.126936910197518","-0.009622557361564974, -0.023235811376351747, 0.005154600088527982, 0.004271889482829683, 0.012088470005576323, 0.008528835220659396, -0.009538303051317488, 0.026236408811309456, -0.016507712785455805, -0.017670521025791565, 0.0005224057416548921, -0.026934024078852307, 0.0028122443326996562, 0.028083243480941586",0.0579576408,0.2102024128,1532096674.78,12.3099999428,0
1532096675589530000,"0.9936095785785947, -0.11287163220609306, -0.0, -0.0, 0.0, 0.0, -5.6194921606442546e-05, -6.3836064588732195e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.37389320259094244, 0.0, 0.1039247025909424","1.0, 0.0, 0.0, 0.0, 2.119304929824005e-05, -0.00020532917562149366, -0.000634268480903988, 0.002604223520749238","0.9995748015087024, 0.01958139051697963, 0.021127171840362828, 0.004298499817936501, -0.007586375416284764, 0.36730093231990407, -0.0011229327471558414, 0.09645483740163141","-1.0856749026259016, -0.7405292253516835, 0.41455830792603304, 1.3015826985207735, -0.36355344672884304, 1.1171215087775526, 0.20708740636453085","0.9683253723526675, -0.8145437983671547, -0.28838838812245776, 1.4231506759606927, 0.31408256631953846, 1.1167380135805811, -0.13000487177328882","-0.01101876517396944, -0.021991586201249132, 0.005891241671387562, 0.00224624097992986, 0.013542458391731745, 0.009256106419605413, -0.009978175759794029, 0.028472623700882112, -0.014539100961415648, -0.019933278111351444, 0.0009345579145482916, -0.029963962602357064, 0.000498630278442921, 0.03062096715563281",0.0608522797,0.2262894999,1532096675.59,13.1199998856,0
1532096676401950000,"0.9926657397605019, -0.12089139384478784, -0.0, -0.0, 0.0, 0.0, -6.014949516077348e-05, -7.325281832332219e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.3744991416573525, 0.0, 0.10453064165735246","0.9994414169035001, -0.03197908953206401, 0.0036155006934792877, -0.00879192067506252, -1.984303459626885e-05, -0.000555569089064234, -0.0007872818014985762, -0.000558669152396718","0.9997824782370007, 0.006770216170320346, 0.019657049986759646, -0.0008968423302928168, -0.00239889045913164, 0.3679350622963903, -0.00023389236750848857, 0.09815953507651702","-1.0810729602622453, -0.7412962157456262, 0.41072335595631954, 1.301966193717745, -0.36777189389552795, 1.1159710231866384, 0.2109223583342444","0.9652574107768966, -0.8264321494732667, -0.28608741694062967, 1.4262186375364634, 0.31676703269833795, 1.1190389847624094, -0.13077186216723152","-0.03311714741598358, 0.012266695224697217, 0.018269573989690938, -0.01597282179007776, 0.030141289200830236, 0.007929660973904639, -0.027145262070781696, 0.007007679555897411, 0.004497415497009946, -0.007121934887170866, -0.022366460944419783, -0.009281027289210465, 0.014552307207762794, -0.002342985221449578",0.0451499709,0.179466308,1532096676.4,13.9300000668,0
1532096677209750000,"0.9916507209270227, -0.12895288940119276, -0.0, -0.0, 0.0, 0.0, -6.411665500788935e-05, -8.337641215323885e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.3751457065582276, 0.0, 0.10517720655822754","0.9992219280381673, -0.038204189570190214, 0.003732481519378719, -0.008844428126352786, -7.224583074488117e-06, -0.0002422336612554199, -0.0012601499216555404, -0.00030167099219859106","0.9997828979956549, 0.00758837078050402, 0.019334033166062508, -0.0009008561961682869, -0.0026987515054161036, 0.3683241094880084, -0.00039051703264825904, 0.09908800123538157","-1.07953897947436, -0.7412962157456262, 0.40957287036540546, 1.2973642513540886, -0.3712233506682701, 1.1201894703533233, 0.2116893487281871","0.9606554684132403, -0.8260486542762953, -0.2834029505618302, 1.4254516471425207, 0.32328645104685094, 1.119805975156352, -0.1365242901218018","-0.0337990283152442, 0.01318173961306431, 0.018496423342698944, -0.017111005002206556, 0.030569246196239783, 0.008689343115924772, -0.027400042206450897, 0.0075353028643089445, 0.0052136059212015, -0.007593487165606821, -0.02294022932402553, -0.009788983043746941, 0.014473071559906283, -0.001963258373191553",0.0453062248,0.1832602276,1532096677.21,14.7400000095,0
1532096678011270000,"0.9905771733500773, -0.1369556995446735, -0.0, -0.0, 0.0, 0.0, -6.804645942648807e-05, -9.408000409271885e-06","1.0, 0.0, 0.0, 0.0, 0.0, 0.375832644045353, 0.0, 0.10586414404535294","0.999079043716082, -0.04220550194386376, 0.0016977674456629666, -0.007284040029228042, 1.0583413979678435e-05, 8.283365809858001e-05, -0.00032000026910034625, 0.000897077025161036","0.999766571098882, 0.008601313867066562, 0.01969397452908904, -0.0017355735299869866, -0.0029851466949696016, 0.3687859799691532, -0.0007781263179908744, 0.09925807531003483","-1.0783884938834458, -0.7401457301547121, 0.4084223847744914, 1.2919953185964896, -0.3723738362591842, 1.1228739367321228, 0.2109223583342444","0.9529855644738133, -0.8210632167156677, -0.2807184841830307, 1.4239176663546353, 0.3286553838044499, 1.1201894703533233, -0.14150972768242942","-0.03422343186643773, 0.013095741578444089, 0.019491507096085672, -0.018503776745567174, 0.03132989788906182, 0.009885516515204418, -0.028185844328749127, 0.007899205059627714, 0.005295281012103232, -0.007914305667970165, -0.023254042355851913, -0.010184660144534955, 0.015256784469378233, -0.0018893008614037036",0.0469024181,0.1909709226,1532096678.01,15.5399999619,0
1532096678819770000,"0.989447215578121, -0.14489378035203368, -0.0, -0.0, 0.0, 0.0, -7.19355924959393e-05, -1.0534184921132956e-05","1.0, 0.0, 0.0, 0.0, 0.0, 0.37655967214107516, 0.0, 0.10659117214107514","0.9987987010305499, -0.0484405123187669, 0.0022094483225633876, -0.00678025605988516, -1.8201010824770575e-05, -0.0004239377323245752, -0.00032779270487112494, 0.00024075402454834527","0.9997688700117906, 0.010229096767307804, 0.018742398321878604, -0.002083269658497707, -0.0035613359621050867, 0.3697451496961349, -0.0007150934017205336, 0.09995994455039703","-1.076471017898589, -0.7393787397607694, 0.406888403986606, 1.2873933762328336, -0.37429131224404094, 1.125174907913951, 0.21130585353121575","0.9460826509283289, -0.8187622455338396, -0.2768835322133172, 1.4177817432030937, 0.336325287743877, 1.1228739367321228, -0.14687866044002837","-0.03390760296159883, 0.01174798334349255, 0.019591555246407415, -0.017047498074825206, 0.03130338688911795, 0.009801187463916427, -0.028694786649019054, 0.007861144371756138, 0.0031330569481175397, -0.00767793410660468, -0.02148987825319322, -0.010400720672533753, 0.015022785955167385, -0.001518431476372156",0.0464741174,0.1944542267,1532096678.82,16.3499999046,0
1532096679631670000,"0.9882435073528376, -0.15288809690411467, -0.0, -0.0, 0.0, 0.0, -7.584278320103996e-05, -1.1733402447114052e-05","1.0, 0.0, 0.0, 0.0, 0.0, 0.3773271224975586, 0.0, 0.10735862249755859","0.9984718067531023, -0.05455178040437661, 0.003403497473477724, -0.007921699500426312, -1.0732171066347995e-05, -0.0002902756804895046, -0.0007788808669457068, 0.0003115954954956146","0.999746220564799, 0.01108017403804292, 0.01950222045983346, -0.0015599840024071061, -0.003914519407932368, 0.3697521481104493, -0.0013432229362320687, 0.10076791718724849","-1.075320532307675, -0.7374612637759127, 0.4049709280017492, 1.2827914338691773, -0.37735927381981177, 1.13054384067155, 0.2109223583342444","0.9395632325798159, -0.8160777791550401, -0.2726650850466323, 1.4150972768242942, 0.3416942205014759, 1.1244079175200083, -0.15454856437945544","-0.03527090909377184, 0.01586967812383379, 0.020441488691472352, -0.021126870429911154, 0.03248539157443661, 0.011629447798315345, -0.028326962080162717, 0.008834912528171621, 0.006658424815962838, -0.008266046801508881, -0.025658809845674972, -0.010665647567603406, 0.01618728943389318, -0.0020563109953784346",0.0489919538,0.1986111378,1532096679.63,17.1600000858,0
